City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Natal,BR,-5.795,-35.2094,83.05,74,20,11.5,few clouds
80,Cordoba,AR,-31.4135,-64.1811,68.76,29,0,3.44,clear sky
81,Singaraja,ID,-8.112,115.0882,79.68,85,13,4.54,few clouds
82,Douglas,US,41.3,-96.167,71.85,26,0,3.44,clear sky
83,Atuona,PF,-9.8,-139.0333,81.28,76,15,17.67,few clouds
84,Chokurdakh,RU,70.6333,147.9167,13.15,94,100,9.98,overcast clouds
85,Cap-Aux-Meules,CA,47.3821,-61.8597,38.34,92,100,12.17,overcast clouds
86,Otradnoye,RU,59.7775,30.8181,42.85,75,43,5.17,scattered clouds
87,Saint-Philippe,RE,-21.3585,55.7679,72.99,81,83,9.44,light rain
88,Sao Filipe,CV,14.8961,-24.4956,77.36,67,8,5.14,clear sky
89,Sorland,NO,67.667,12.6934,35.46,56,100,13.18,overcast clouds
90,General Roca,AR,-39.0333,-67.5833,68.81,16,0,9.48,clear sky
91,Victoria,HK,22.2855,114.1577,80.44,89,15,11.99,few clouds
92,Arraial Do Cabo,BR,-22.9661,-42.0278,76.86,73,0,6.91,clear sky
93,Lompoc,US,34.6391,-120.4579,63.79,72,100,12.66,overcast clouds
94,Okha,RU,53.5739,142.9478,31.77,97,100,9.95,light snow
95,San Francisco,US,37.7749,-122.4194,62.11,73,100,7.0,overcast clouds
96,Mbanza-Ngungu,CD,-5.25,14.8667,69.96,95,100,2.39,moderate rain
97,Moose Factory,CA,51.2585,-80.6094,44.58,70,40,6.91,scattered clouds
98,Sabang,ID,5.8933,95.3214,83.53,76,100,9.51,overcast clouds
99,Punta Arenas,CL,-53.15,-70.9167,51.91,66,0,35.68,light rain
100,Kununurra,AU,-15.7667,128.7333,60.78,77,63,3.44,broken clouds
101,Santa Rosa,PH,14.3122,121.1114,82.11,79,98,9.93,overcast clouds
102,Tasiilaq,GL,65.6145,-37.6368,33.96,77,5,0.96,clear sky
103,Tessalit,ML,20.1986,1.0114,94.68,6,10,11.14,clear sky
104,Hilo,US,19.7297,-155.09,80.33,65,0,5.99,clear sky
105,Nabire,ID,-3.3667,135.4833,76.39,88,100,3.22,overcast clouds
106,Bilibino,RU,68.0546,166.4372,14.86,93,100,2.73,overcast clouds
107,Urengoy,RU,65.9667,78.3667,21.27,98,73,3.6,broken clouds
108,Srednekolymsk,RU,67.45,153.6833,16.11,95,92,5.3,overcast clouds
109,Korla,CN,41.7597,86.1469,42.87,77,100,28.01,heavy intensity rain
110,Ovsyanka,RU,55.9575,92.5519,27.57,96,17,0.92,few clouds
111,San Juan De La Maguana,DO,18.8059,-71.2299,88.74,44,75,9.57,broken clouds
112,Port Alfred,ZA,-33.5906,26.891,65.17,90,15,1.99,few clouds
113,Huarmey,PE,-10.0681,-78.1522,78.49,73,23,9.66,few clouds
114,Menongue,AO,-14.6585,17.691,62.87,51,1,4.79,clear sky
115,Oranjemund,NA,-28.55,16.4333,55.67,92,81,5.61,broken clouds
116,Isangel,VU,-19.55,169.2667,78.84,78,57,9.01,broken clouds
117,Monte Alegre,BR,-2.0078,-54.0692,83.12,79,49,3.6,scattered clouds
118,Kruisfontein,ZA,-34.0033,24.7314,61.88,93,0,4.09,clear sky
119,Myskhako,RU,44.6714,37.7433,47.98,77,10,4.41,clear sky
120,San Cristobal,VE,7.7669,-72.225,89.78,31,87,8.99,overcast clouds
121,Provideniya,RU,64.3833,-173.3,21.34,78,84,3.11,broken clouds
122,Conceicao Da Barra,BR,-18.5933,-39.7322,76.37,79,15,4.94,few clouds
123,Agutaya,PH,11.148,120.9417,82.45,80,100,21.94,overcast clouds
124,Puerto Escondido,MX,15.85,-97.0667,90.43,62,0,5.75,clear sky
125,Severo-Kurilsk,RU,50.6789,156.125,32.83,76,15,3.42,few clouds
126,Flinders,AU,-34.5833,150.8552,54.18,65,0,5.99,clear sky
127,Geraldton,AU,-28.7667,114.6,55.81,67,5,5.75,clear sky
128,Plattsburgh,US,44.6995,-73.4529,54.9,84,100,3.44,mist
129,Codajas,BR,-3.8367,-62.0569,83.46,84,93,1.52,overcast clouds
130,Lovosice,CZ,50.515,14.051,50.67,75,4,4.76,clear sky
131,Puerto Ayora,EC,-0.7393,-90.3518,87.76,83,14,5.99,few clouds
132,Meulaboh,ID,4.1363,96.1285,78.12,88,100,2.71,overcast clouds
133,Westport,US,41.1415,-73.3579,58.62,56,0,8.05,clear sky
134,Puerto Colombia,CO,10.9878,-74.9547,89.69,75,10,19.55,clear sky
135,Samarai,PG,-10.6167,150.6667,82.13,81,100,8.97,overcast clouds
136,Umm Lajj,SA,25.0213,37.2685,78.35,56,0,4.76,clear sky
137,Esperance,AU,-33.8667,121.9,60.01,57,62,9.55,broken clouds
138,Kosai,JP,34.7105,137.5316,57.85,74,98,2.42,overcast clouds
139,Cayenne,GF,4.9333,-52.3333,84.24,70,75,17.27,broken clouds
140,Takanabe,JP,32.1333,131.5,61.99,78,100,3.76,light rain
